"lng","lat","name","type","area_km2"
-0.295403311526124,51.4769819258526,"Royal Botanic Gardens","Public Park Or Garden",1.29043377001876
-0.308105910161663,51.478284832592,"Syon Park","Public Park Or Garden",0.21968372533972
-0.19995543711315,51.4661324009544,NA,"Other Sports Facility",0.147174051482982
-0.264901096627996,51.4768147214015,"The Quintin Hogg Memorial Ground","Other Sports Facility",0.131995902509935
-0.259539819181634,51.4742251810079,"Riverside Lands School Playing Fields","Playing Field",0.166679736698346
-0.253979077746485,51.4767087145008,NA,"Other Sports Facility",0.12375225637424
-0.31034645277495,51.4636528259263,"Old Deer Park Recreation Ground","Playing Field",0.284295244160007
-0.308100241004497,51.4686508104552,"Old Deer Park","Public Park Or Garden",0.881669008036725
-0.301689794851462,51.4663027770818,"London Scottish And Richmond Rugby Football Ground","Other Sports Facility",0.100776225435637
-0.23338034152677,51.4677973726231,"Barnes Common","Public Park Or Garden",0.411714495631884
-0.2305171644787,51.4700323705305,"Putney Lower Common","Public Park Or Garden",0.167577344075574
-0.369855462462315,51.4732573522605,"Lampton Park","Public Park Or Garden",0.166569830952594
-0.359706537930925,51.4826116593772,NA,"Playing Field",0.189678523701221
-0.253037491314228,51.4597139579523,"Bank Of England Sports Ground","Other Sports Facility",0.155338653132138
0.0786800056158079,51.4751175103198,"Shrewsbury Park","Public Park Or Garden",0.142241483480554
0.0994306814280854,51.4806937866901,"Plumstead Common","Public Park Or Garden",0.381518287685706
0.0877576830368093,51.5447068231905,"Barking Park","Public Park Or Garden",0.275398582426104
0.0715607248645315,51.5690160674268,"Valentines Park","Public Park Or Garden",0.472858730534367
0.0614441865802252,51.5844032892603,"Clayhall Park","Public Park Or Garden",0.14389196420813
0.0525894361468674,51.6085523499325,"Ashton Playing Fields","Other Sports Facility",0.148643654885395
0.0678173745675928,51.6000379699327,"Claybury Park","Public Park Or Garden",0.760175653978101
0.0899850881118739,51.5987883977643,"Oakfield Playing Fields","Playing Field",0.196154786943885
0.0601807971763909,51.4826022943741,"Barrack Field","Playing Field",0.142995067854902
0.0443061679665156,51.4890716013941,"Maryon Park","Public Park Or Garden",0.118822463501398
0.0678904373534721,51.5497399691022,"Little Ilford Park","Public Park Or Garden",0.104774466804683
0.0934604388227668,51.5561293600558,"South Park","Public Park Or Garden",0.129099143320852
0.0459514611430546,51.4799219004472,"Charlton Park","Public Park Or Garden",0.140359467723096
0.05524669793378,51.4757629127138,"Woolwich Common","Public Park Or Garden",0.451484075920978
0.0500247412209899,51.5115400868443,"Beckton District Park","Public Park Or Garden",0.341061245899027
0.0773134377258445,51.6237125009211,NA,"Other Sports Facility",0.192522359407987
0.0611843020798991,51.6308098168292,NA,"Playing Field",0.737751338719992
0.0472820150240181,51.6084010589337,"Ray Park","Public Park Or Garden",0.105589458126534
0.0506980632599285,51.5960144833253,"Wanstead Rugby Club","Playing Field",0.103143455044744
0.0349976976847959,51.5576714526944,"Wanstead Flats","Public Park Or Garden",1.81588864767303
0.0442671785889676,51.5678653346837,"Wanstead Park","Public Park Or Garden",0.950049308953564
0.0361234127428967,51.5579020412423,NA,"Playing Field",0.441420610117689
0.0118556938734962,51.5269259363387,"Memorial Recreation Ground","Playing Field",0.129638511501577
0.0196317858103175,51.5386537449004,"West Ham Park","Public Park Or Garden",0.264439043830966
0.0187541937836491,51.561123563727,NA,"Playing Field",0.178268167919588
0.0394442063354861,51.5842432673569,"Roding Valley Park","Public Park Or Garden",0.383884366450472
0.0074314401813374,51.470009276746,"Blackheath","Public Park Or Garden",0.752877344618615
0.00247073010802388,51.4767191114322,"Greenwich Park","Public Park Or Garden",0.73496148061465
-0.0062417667746458,51.602699432399,"Peter May Sports Centre","Other Sports Facility",0.123642286844733
0.309939373568087,51.6270001388796,"Merrymeads Country Park","Public Park Or Garden",0.139351050861383
0.315291966186872,51.620231016759,"The Courage Sports Centre","Other Sports Facility",0.192936232740344
0.313877491877442,51.6151543976335,"Shenfield Common","Public Park Or Garden",0.127833230249823
0.30170632596264,51.4881618454602,"Chafford Gorges Nature Park","Public Park Or Garden",0.260829993958407
0.246746004605935,51.5849973121172,"Harold Wood Park","Public Park Or Garden",1.11206400841644
0.261931845952307,51.567253626856,"Upminster Hall Playing Fields","Playing Field",0.12974147318401
0.301913683602712,51.6030854477279,NA,"Other Sports Facility",0.102845886066563
0.262491418899885,51.5175721885343,"Belhus Woods Country Park","Public Park Or Garden",2.34661007744976
0.264117285281673,51.5060615612688,"Belhus Park","Other Sports Facility",0.676018912086133
0.262925233631232,51.5081297029376,"Belhus Park","Public Park Or Garden",0.317896599653606
0.269424393730742,51.5366061550014,NA,"Other Sports Facility",0.471069748880995
0.216669140916988,51.5771058868144,"Haynes Park","Public Park Or Garden",0.116857921832393
0.231342127949016,51.6068686236557,"Central Park","Public Park Or Garden",0.120807492992275
0.2403745311644,51.614356318196,"Dagnam Park","Public Park Or Garden",0.435347423677134
0.270087012598808,51.6286236948496,"Weald Country Park","Public Park Or Garden",1.75105797242865
0.287721138463436,51.608363493868,"Warley Country Park","Public Park Or Garden",0.236403638901247
0.291307105021256,51.6200191499699,"St Faith's Country Park","Public Park Or Garden",0.167956391859307
0.201083318441304,51.5560682885269,"Harrow Lodge Park","Public Park Or Garden",0.433286968970813
0.211315212547528,51.5370485052244,"Hornchurch Country Park","Public Park Or Garden",0.83618169691205
0.172955784153357,51.613020637327,"Havering Country Park","Public Park Or Garden",0.686813261682742
0.191769757685362,51.5885378211584,"Raphael Park","Public Park Or Garden",0.150813053967174
0.19324414077399,51.6089907386976,"Bedfords Park","Public Park Or Garden",0.353276254200877
0.167707083384525,51.5324294346964,"Beam Valley Country Park","Public Park Or Garden",0.326631766321451
0.179783963745952,51.5428601645044,"Beam Valley Country Park","Public Park Or Garden",0.374327455986771
0.185858886064132,51.5409368018248,"Bretons Outdoor Recreation Centre","Other Sports Facility",0.511359426374254
0.188737395904809,51.5375340236325,"Brittons Playing Fields","Playing Field",0.110145464903943
0.182632724863239,51.5504053703469,"Eastbrookend Country Park","Public Park Or Garden",1.31372109769466
0.16485600280284,51.5592935930309,"Central Park","Public Park Or Garden",0.492201621320871
0.162751044782046,51.4566632370995,"Martens Grove Park","Public Park Or Garden",0.122509354877119
0.161013856327735,51.4869961041764,"Frank's Park","Public Park Or Garden",0.177916806766083
0.152942597083355,51.5710706133276,"Westlands Playing Field","Playing Field",0.104010544410601
0.162086712135348,51.5641337209596,NA,"Other Sports Facility",0.112600894345909
0.134663054455138,51.5437775658445,"Parsloes Park","Public Park Or Garden",0.596837275875376
0.143231309420012,51.5348183188538,"Goresbrook Park","Public Park Or Garden",0.139777738611535
0.158913351745396,51.5359431986429,"Dagenham Old Park","Public Park Or Garden",0.207206899267395
0.109927390076449,51.6023260372176,NA,"Playing Field",0.382193899652388
0.131771513679584,51.6042490943448,"Redbridge Cycling Centre","Other Sports Facility",0.169163512607239
0.136600502492434,51.6178406226423,"Hainault Forest Country Park","Public Park Or Garden",3.67433935163808
0.142304509138943,51.6300708642926,"Lambourne End Outdoor Centre","Other Sports Facility",0.173788677401286
0.118697520739036,51.4546192404859,"Danson Park","Public Park Or Garden",0.737941716071832
0.104597285615173,51.4723741162835,"East Wickham Open Space","Public Park Or Garden",0.288346964965608
0.111214320279594,51.5430929843871,"Mayesbrook Park","Public Park Or Garden",0.441651688038917
0.122959880743378,51.5325656623296,"Castle Green","Public Park Or Garden",0.103369168264565
0.121469820348806,51.4796126991087,"Bostall Heath","Public Park Or Garden",0.132853997365791
0.129696486153982,51.5043574126154,NA,"Playing Field",0.10137561724243
0.104755769711004,51.573723652577,"Seven Kings Park","Public Park Or Garden",0.196712975181734
